"Row Type,City name,City ID,Cost,Clicks,Impr,Cost/wt action,Weighted actions,Avg CPC,CTR,Avg pos"
",Boone,1015672,0.00,0,1,,0.00,,0.0000,"
",Vienna,1028435,0.00,0,1,,0.00,,0.0000,"
",Mapleton,1018935,0.97,1,1,0.24,4.00,0.97,1.0000,"
",Oreland,1025172,3.46,1,3,3.46,1.00,3.46,0.3333,"
",Holladay,1026020,0.00,0,1,,0.00,,0.0000,"
",Fox Lake,1016475,6.58,1,4,6.58,1.00,6.58,0.2500,"
",Montgomery,1019978,0.00,0,1,,0.00,,0.0000,"
",Knightdale,1021175,4.96,1,8,4.96,1.00,4.96,0.1250,"
",Feather Sound,9051940,0.00,0,1,,0.00,,0.0000,"
",Prairie du Chien,1028168,0.00,0,2,,0.00,,0.0000,"
",Winthrop,1018494,0.00,0,2,,0.00,,0.0000,"
",Colorado City,1026308,0.00,0,1,,0.00,,0.0000,"
",Rossville,1017620,0.00,0,1,,0.00,,0.0000,"
",Sea Cliff,1023353,0.00,0,4,,0.00,,0.0000,"
",De Graff,1023658,0.00,0,1,,0.00,,0.0000,"
",Saint Jacob,1016868,0.00,0,2,,0.00,,0.0000,"
",Palatka,1015156,0.00,0,2,,0.00,,0.0000,"
",Valley Green,9053041,0.00,0,2,,0.00,,0.0000,"
",New Cumberland,1025136,0.00,0,1,,0.00,,0.0000,"
",Milan,1017206,0.00,0,1,,0.00,,0.0000,"
",Clearwater,1014984,41.51,10,113,2.77,15.00,4.15,0.0885,"
",Columbus,1017047,5.50,1,23,2.75,2.00,5.50,0.0435,"
",Saint Paul,1020090,60.68,11,86,3.37,18.00,5.52,0.1279,"
",Forest Hills,9051962,0.00,0,20,0.00,2.00,,0.0000,"
",Michigan City,1017202,9.41,1,29,,0.00,9.41,0.0345,"
",San Antonio,1026759,285.43,57,508,2.77,103.00,5.01,0.1122,"
",La Porte,1017159,1.32,1,18,,0.00,1.32,0.0556,"
",Marina,1013983,0.00,0,19,,0.00,,0.0000,"
",Green Valley,1013421,7.40,2,19,1.48,5.00,3.70,0.1053,"
",Oro Valley,9052608,60.13,11,67,2.23,27.00,5.47,0.1642,"
",Frankfort,1016477,4.91,1,18,2.46,2.00,4.91,0.0556,"
",Roanoke,1027271,5.55,1,131,1.85,3.00,5.55,0.0076,"
",Elma Center,9051903,2.19,1,5,1.09,2.00,2.19,0.2000,"
",Clayton,1021054,32.15,7,59,3.21,10.00,4.59,0.1186,"
",Fruit Cove,9051999,0.00,0,26,,0.00,,0.0000,"
",Fernandina Beach,1015022,50.34,12,49,1.68,30.00,4.20,0.2449,"
",Rapid City,1025846,27.44,5,35,1.44,19.00,5.49,0.1429,"
",Northfield,1023902,7.36,2,19,7.36,1.00,3.68,0.1053,"
",Horsham,1024948,0.00,0,14,,0.00,,0.0000,"
",Jordan,1023051,0.00,0,1,,0.00,,0.0000,"
",Plainfield charter Township,9052681,0.00,0,9,,0.00,,0.0000,"
",Rock Island,1016812,7.18,2,32,,0.00,3.59,0.0625,"
",Genesee charter Township,1019305,0.00,0,2,,0.00,,0.0000,"
",Kingston,1024986,9.88,3,18,1.41,7.00,3.29,0.1667,"
",Cooper City,9051766,21.76,4,35,3.11,7.00,5.44,0.1143,"
",Ravenswood,1028408,8.65,2,11,,0.00,4.33,0.1818,"
",Simsbury,9052852,16.55,4,15,2.07,8.00,4.14,0.2667,"
",Daytona Beach,1015001,15.03,3,41,7.51,2.00,5.01,0.0732,"
",Orangeburg,1025630,9.12,2,14,4.56,2.00,4.56,0.1429,"
",Blue Springs,1020203,44.14,8,33,3.68,12.00,5.52,0.2424,"
",Anoka,1019688,26.07,4,25,4.34,6.00,6.52,0.1600,"
",Harrisburg,1024922,31.14,7,67,3.11,10.00,4.45,0.1045,"
",Skokie,1016851,27.40,7,53,1.96,14.00,3.91,0.1321,"
",Groesbeck,1026443,4.38,1,5,4.38,1.00,4.38,0.2000,"
",Galt,1013810,0.00,0,3,,0.00,,0.0000,"
",Mount Vernon,1023176,9.73,2,24,2.43,4.00,4.87,0.0833,"
",Brookneal,1027055,0.00,0,3,,0.00,,0.0000,"
",Aventura,9051532,45.24,8,44,3.48,13.00,5.66,0.1818,"
",Poway,1014162,0.00,0,15,,0.00,,0.0000,"
",Mountlake Terrace,1027670,10.03,3,14,2.51,4.00,3.34,0.2143,"
",Jefferson City,1020411,33.00,6,34,4.12,8.00,5.50,0.1765,"
",Maquoketa,1015898,13.68,3,29,2.28,6.00,4.56,0.1034,"
",Dallas,1024436,5.44,1,7,1.81,3.00,5.44,0.1429,"
",Bel Air,1018512,9.00,2,21,4.50,2.00,4.50,0.0952,"
",Peekskill,1023253,4.17,2,7,0.83,5.00,2.08,0.2857,"
",Taylor,1026830,0.00,0,6,,0.00,,0.0000,"
",Easley,1025541,12.06,3,16,4.02,3.00,4.02,0.1875,"
",Birdsboro,1024670,4.01,1,25,4.01,1.00,4.01,0.0400,"
",Selbyville,1014933,17.36,4,9,1.24,14.00,4.34,0.4444,"
",Chelsea,1019211,5.51,1,9,1.84,3.00,5.51,0.1111,"
",Euclid,1023688,8.59,2,18,8.59,1.00,4.29,0.1111,"
",Troy,1019073,4.50,1,2,2.25,2.00,4.50,0.5000,"
",Swansea,1018432,3.75,1,8,,0.00,3.75,0.1250,"
",Mamaroneck,1023116,7.09,2,15,3.54,2.00,3.54,0.1333,"
",Malibu,1013978,24.30,5,13,4.86,5.00,4.86,0.3846,"
",Harwich,1018235,0.00,0,9,,0.00,,0.0000,"
",Valley Center,1014364,0.00,0,4,,0.00,,0.0000,"
",Boone,1021017,2.82,1,10,0.94,3.00,2.82,0.1000,"
",Hamilton,1020900,0.00,0,4,,0.00,,0.0000,"
",Goose Creek,1025561,8.53,2,14,1.22,7.00,4.26,0.1429,"
",Buda,1026251,0.00,0,8,,0.00,,0.0000,"
",Nottingham,1018666,3.43,1,2,,0.00,3.43,0.5000,"
",Highland,1022995,2.85,1,5,,0.00,2.85,0.2000,"
",Portage,1019540,6.24,1,13,1.25,5.00,6.24,0.0769,"
",Brown Deer,9051658,2.98,1,15,0.74,4.00,2.98,0.0667,"
",Tom Bean,1026845,14.31,3,10,,0.00,4.77,0.3000,"
",Turtle Creek,1025349,0.00,0,2,,0.00,,0.0000,"
",Merrillville,1017199,12.99,2,24,4.33,3.00,6.50,0.0833,"
",Paoli,1025181,10.03,2,13,2.01,5.00,5.01,0.1538,"
",Cuyahoga Falls,1023653,0.00,0,14,,0.00,,0.0000,"
",Charlotte,1019208,3.66,1,7,3.66,1.00,3.66,0.1429,"
",Beverly,1018122,9.67,2,26,9.67,1.00,4.83,0.0769,"
",Antelope,1013547,0.00,0,5,,0.00,,0.0000,"
",Oak Grove,1017853,0.00,0,2,,0.00,,0.0000,"
",Oneida,1028131,0.00,0,0,0.00,1.00,,,"
",Elberton,1015339,0.00,0,5,,0.00,,0.0000,"
",Eastpointe,1019266,30.09,5,10,4.30,7.00,6.02,0.5000,"
",Lancaster,1025597,5.15,1,5,5.15,1.00,5.15,0.2000,"
",Nantucket,1018314,5.40,1,9,5.40,1.00,5.40,0.1111,"
",Clinton,1022080,0.00,0,7,,0.00,,0.0000,"
",Richmond,1027445,0.00,0,1,,0.00,,0.0000,"
",Senoia,1015504,0.00,0,2,,0.00,,0.0000,"
",Chittenango,1022806,0.00,0,10,,0.00,,0.0000,"
",Washington,1015553,0.00,0,1,,0.00,,0.0000,"
",Brambleton,9051628,7.32,2,10,3.66,2.00,3.66,0.2000,"
",Cannon Beach,1024413,0.00,0,2,,0.00,,0.0000,"
",Mukilteo,1027672,9.65,2,3,2.41,4.00,4.83,0.6667,"
",Glenpool,1024209,3.72,1,9,3.72,1.00,3.72,0.1111,"
",Elk Mound,1027950,0.00,0,1,,0.00,,0.0000,"
",Fletcher,1021110,3.15,1,13,1.57,2.00,3.15,0.0769,"
",North Kingstown,1025468,0.00,0,5,,0.00,,0.0000,"
",Graham,1027598,0.00,0,4,,0.00,,0.0000,"
",Bemidji,1019717,4.39,1,14,,0.00,4.39,0.0714,"
",Picayune,1020801,13.65,2,19,,0.00,6.83,0.1053,"
",Monahans,1026631,0.00,0,0,,0.00,,,"
",Newville,1025151,8.39,2,9,2.80,3.00,4.20,0.2222,"
",Liberty,1023086,4.25,1,5,,0.00,4.25,0.2000,"
",Rockport,1026739,4.98,1,3,1.66,3.00,4.98,0.3333,"
",Dumont,1022097,6.70,1,12,6.70,1.00,6.70,0.0833,"
",Suisun City,1014310,4.94,1,6,2.47,2.00,4.94,0.1667,"
",Healdsburg,1013849,6.89,1,11,,0.00,6.89,0.0909,"
",Bolton,1014676,0.00,0,5,,0.00,,0.0000,"
",Millersburg,1023843,0.00,0,1,,0.00,,0.0000,"
",Mastic,1023129,0.00,0,5,,0.00,,0.0000,"
",Houlton,9052165,3.66,1,10,,0.00,3.66,0.1000,"
",Georgetown Township,9052022,5.40,1,8,2.70,2.00,5.40,0.1250,"
",Reading,1018375,0.00,0,3,0.00,1.00,,0.0000,"
",Deer Lodge,1020881,11.01,3,3,2.75,4.00,3.67,1.0000,"
",Kensett,1013262,0.00,0,4,,0.00,,0.0000,"
",Newport,1024527,0.00,0,6,,0.00,,0.0000,"
",Morton Grove,1016696,0.00,0,7,,0.00,,0.0000,"
",Painted Post,1023241,0.00,0,2,,0.00,,0.0000,"
",Vernon,1026864,0.00,0,1,,0.00,,0.0000,"
",Evensville,1025986,0.00,0,1,,0.00,,0.0000,"
",Morris Plains,1022279,11.64,2,21,,0.00,5.82,0.0952,"
",Bound Brook,1022043,9.35,1,10,4.67,2.00,9.35,0.1000,"
",Webster,1025889,0.00,0,1,,0.00,,0.0000,"
",Westville,1016955,0.00,0,1,,0.00,,0.0000,"
",Shafter,1014268,0.00,0,1,,0.00,,0.0000,"
",Boscobel,1027869,0.00,0,2,,0.00,,0.0000,"
",Ainsworth,1021589,0.00,0,5,,0.00,,0.0000,"
",Morrill,1018952,3.50,1,1,1.17,3.00,3.50,1.0000,"
",Gilberts,9052024,0.00,0,1,,0.00,,0.0000,"
",Torrington,1028509,0.00,0,1,,0.00,,0.0000,"
",Camden,1022775,0.00,0,2,,0.00,,0.0000,"
",McFarland,1028071,11.14,2,4,5.57,2.00,5.57,0.5000,"
",Blacksburg,1025510,0.00,0,3,,0.00,,0.0000,"
",Vista,1014374,12.15,3,24,1.74,7.00,4.05,0.1250,"
",Berea,1017698,0.00,0,4,,0.00,,0.0000,"
",Jefferson City,1026030,0.00,0,2,,0.00,,0.0000,"
",Haines,1012892,0.00,0,2,,0.00,,0.0000,"
",Los Lunas,1022553,0.00,0,5,,0.00,,0.0000,"
",Windsor charter Township,9053183,0.00,0,1,,0.00,,0.0000,"
",Holdingford,1019887,0.00,0,1,,0.00,,0.0000,"
",California,1018531,0.00,0,4,,0.00,,0.0000,"
",Wyoming,9073473,8.91,2,8,4.46,2.00,4.46,0.2500,"
",Breckenridge,1014449,0.00,0,4,,0.00,,0.0000,"
",Champlin,1019756,0.00,0,7,,0.00,,0.0000,"
",Staunton,1016872,0.00,0,1,,0.00,,0.0000,"
",Culver,1024435,0.00,0,1,,0.00,,0.0000,"
",Lincoln,9052323,0.00,0,1,,0.00,,0.0000,"
",Los Banos,1013963,0.00,0,2,,0.00,,0.0000,"
",La Junta,1014559,0.00,0,1,,0.00,,0.0000,"
",Laughlin,1022640,0.00,0,1,,0.00,,0.0000,"
",Grant,9052049,0.00,0,1,,0.00,,0.0000,"
",Newkirk,1024281,0.00,0,1,,0.00,,0.0000,"
",Hertford,1021147,0.00,0,1,,0.00,,0.0000,"
",Charlton,1018153,0.00,0,4,,0.00,,0.0000,"
",Wayne,1028437,5.40,1,2,1.80,3.00,5.40,0.5000,"
",Honesdale,1024945,12.58,2,13,1.57,8.00,6.29,0.1538,"
",Centerview,1020249,0.00,0,2,,0.00,,0.0000,"
",Greater Landover,9052055,0.00,0,2,,0.00,,0.0000,"
",Grayling,1019321,0.00,0,2,,0.00,,0.0000,"
",Martinsville,1017193,0.00,0,8,,0.00,,0.0000,"
",Darlington,1018562,0.00,0,1,,0.00,,0.0000,"
",South Houston,1026802,0.00,0,1,,0.00,,0.0000,"
",Washington,1020670,0.00,0,2,,0.00,,0.0000,"
",Logansport,1018018,0.00,0,0,,0.00,,,"
",Millwood,1027222,0.00,0,1,,0.00,,0.0000,"
",Crofton,1018557,0.00,0,4,,0.00,,0.0000,"
",Brush Prairie,1027523,3.63,1,7,,0.00,3.63,0.1429,"
",Carmi,1016347,0.00,0,2,,0.00,,0.0000,"
",Waynesville,1021358,21.91,5,14,4.38,5.00,4.38,0.3571,"
",Ashburn,1027028,61.87,14,198,1.29,48.00,4.42,0.0707,"
",Monrovia,1014022,14.41,3,38,1.20,12.00,4.80,0.0789,"
",Pompano Beach,1015176,30.27,6,50,1.89,16.00,5.04,0.1200,"
",Elk Grove,1013763,11.42,2,68,2.85,4.00,5.71,0.0294,"
",Baton Rouge,1017934,82.61,17,178,2.95,28.00,4.86,0.0955,"
",Joplin,1020412,0.00,0,30,,0.00,,0.0000,"
",Mooresville,1017219,0.00,0,9,,0.00,,0.0000,"
",Days Creek,1024437,0.00,0,0,,0.00,,,"
",Portage,1017273,11.59,3,16,2.90,4.00,3.86,0.1875,"
",Hightstown,1022178,44.69,10,34,2.23,20.00,4.47,0.2941,"
",Glenwood,1018604,3.75,1,5,0.94,4.00,3.75,0.2000,"
",Oakland,1014080,55.63,12,146,1.43,39.00,4.64,0.0822,"
",Redwood City,1014178,28.78,8,65,1.51,19.00,3.60,0.1231,"
",Oak Park,1016734,10.18,2,22,5.09,2.00,5.09,0.0909,"
",Chatham,1016362,6.53,1,7,1.63,4.00,6.53,0.1429,"
",Pittsfield,9052677,0.00,0,2,,0.00,,0.0000,"
",Johnstown,1024976,32.48,6,45,8.12,4.00,5.41,0.1333,"
",Meredith,9052420,0.00,0,2,,0.00,,0.0000,"
",Stroudsburg,1025320,14.20,2,27,3.55,4.00,7.10,0.0741,"
",Woodland,1014415,20.86,5,24,2.09,10.00,4.17,0.2083,"
",Renton,1027726,35.67,9,73,1.55,23.00,3.96,0.1233,"
",Alamosa,1014429,5.79,1,12,2.90,2.00,5.79,0.0833,"
",Gettysburg,1024887,7.48,2,12,7.48,1.00,3.74,0.1667,"
",Broadview,1016321,7.72,2,17,3.86,2.00,3.86,0.1176,"
",Peterborough,9052665,0.00,0,4,,0.00,,0.0000,"
",Essex,1014726,0.00,0,1,,0.00,,0.0000,"
",Monroe,1023162,0.00,0,10,,0.00,,0.0000,"
",Sienna Plantation,9052848,7.04,1,14,1.41,5.00,7.04,0.0714,"
",Braidwood,9051627,0.00,0,1,,0.00,,0.0000,"
",Robbins,1021285,0.00,0,0,,0.00,,,"
",Franklin,1023701,0.00,0,6,0.00,1.00,,0.0000,"
",Wausau,1028269,3.85,1,20,0.96,4.00,3.85,0.0500,"
",Sun City,1013497,24.51,6,61,4.08,6.00,4.08,0.0984,"
",Pedricktown,1022334,0.00,0,1,,0.00,,0.0000,"
",Christiansburg,1027077,0.00,0,6,,0.00,,0.0000,"
",Halstad,1019867,0.00,0,1,,0.00,,0.0000,"
",Millstone,9052445,4.71,1,7,1.18,4.00,4.71,0.1429,"
",Lanham,1018635,4.67,1,13,2.33,2.00,4.67,0.0769,"
",Meridian,9052421,0.00,0,2,,0.00,,0.0000,"
",Bastrop,1026211,8.55,2,13,,0.00,4.28,0.1538,"
",Farragut,9051938,7.42,2,18,1.48,5.00,3.71,0.1111,"
",Union City,1022447,0.00,0,3,,0.00,,0.0000,"
",Lake Elsinore,1013924,0.00,0,7,0.00,1.00,,0.0000,"
",Kennewick,1027622,14.38,3,49,2.88,5.00,4.79,0.0612,"
",Clinton,9051740,0.00,0,3,,0.00,,0.0000,"
",Pima,1013463,0.00,0,0,,0.00,,,"
",Two Harbors,1020111,0.00,0,2,,0.00,,0.0000,"
",Brewster,1022750,10.91,2,5,5.46,2.00,5.46,0.4000,"
",Buena Park,1013621,3.62,1,19,1.81,2.00,3.62,0.0526,"
",Lewiston,1016184,6.94,1,20,3.47,2.00,6.94,0.0500,"
",Raymore,1020566,0.00,0,25,,0.00,,0.0000,"
",Normal,1016725,2.20,1,10,2.20,1.00,2.20,0.1000,"
",Leacock-Leola-Bareville,9052308,0.00,0,14,,0.00,,0.0000,"
",Deltona,1015008,25.15,4,27,5.03,5.00,6.29,0.1481,"
",Lancaster,1017812,0.00,0,7,,0.00,,0.0000,"
",Abington,1024610,13.83,3,60,2.31,6.00,4.61,0.0500,"
",Kennett,1020416,0.00,0,3,,0.00,,0.0000,"
",Cameron Park,9051682,4.82,1,4,,0.00,4.82,0.2500,"
",Crystal Lake,1016396,16.94,4,38,1.88,9.00,4.24,0.1053,"
",Eustis,1015021,0.00,0,18,,0.00,,0.0000,"
",Lake Grove,1023068,3.25,1,4,,0.00,3.25,0.2500,"
",Smyrna,1015507,3.82,1,23,3.82,1.00,3.82,0.0435,"
",Laguna Beach,1013920,31.86,6,37,3.54,9.00,5.31,0.1622,"
",South Hill,9052872,0.00,0,1,,0.00,,0.0000,"
",Elmhurst,1016444,32.84,6,50,4.11,8.00,5.47,0.1200,"
",Clovis,1022519,0.00,0,7,,0.00,,0.0000,"
",Richmond,1020574,3.51,1,11,,0.00,3.51,0.0909,"
",McCandless,9052407,11.57,3,13,5.79,2.00,3.86,0.2308,"
",Henderson,1017791,0.00,0,20,0.00,1.00,,0.0000,"
",Hot Sulphur Springs,1014539,0.00,0,0,,0.00,,,"
",Animas,1022498,0.00,0,4,,0.00,,0.0000,"
",Cohoes,1022821,8.35,2,16,2.09,4.00,4.17,0.1250,"
",Deer Park,1026345,0.00,0,10,,0.00,,0.0000,"
",Jessup,1018629,0.00,0,9,,0.00,,0.0000,"
",Linwood,1019417,0.00,0,5,,0.00,,0.0000,"
",Collinsville,1024168,0.00,0,16,,0.00,,0.0000,"
",Porterdale,9052708,0.00,0,17,,0.00,,0.0000,"
",Charleston,1016361,0.00,0,11,,0.00,,0.0000,"
",Hudsonville,1019365,4.62,1,4,2.31,2.00,4.62,0.2500,"
",Eclectic,1012995,0.00,0,1,,0.00,,0.0000,"
",Lake Wales,1015086,12.42,3,16,4.14,3.00,4.14,0.1875,"
",Breaux Bridge,1017941,0.00,0,13,,0.00,,0.0000,"
",Pipestone,1020031,4.85,1,1,4.85,1.00,4.85,1.0000,"
",Germantown,1023715,0.00,0,2,,0.00,,0.0000,"
",San Lorenzo,1014230,3.61,1,5,3.61,1.00,3.61,0.2000,"
",Yazoo City,1020841,3.64,1,4,,0.00,3.64,0.2500,"
",Harrison charter Township,1019337,0.00,0,1,,0.00,,0.0000,"
",New Boston,1026650,0.00,0,3,,0.00,,0.0000,"
",Spry,9052907,5.15,1,3,5.15,1.00,5.15,0.3333,"
",Dalhart,1026338,0.00,0,1,,0.00,,0.0000,"
",Shelton,1027750,4.00,1,6,4.00,1.00,4.00,0.1667,"
",Detroit Lakes,1019799,6.80,1,4,,0.00,6.80,0.2500,"
",Englewood Cliffs,1022114,0.00,0,3,,0.00,,0.0000,"
",Red Wing,1020041,0.00,0,4,,0.00,,0.0000,"
",Corsicana,1026320,0.00,0,23,,0.00,,0.0000,"
",Pompton Lakes,1022354,0.00,0,2,,0.00,,0.0000,"
",Abbeville,1017921,3.73,1,14,,0.00,3.73,0.0714,"
",Scottsbluff,1021747,3.46,1,14,,0.00,3.46,0.0714,"
",Elmwood Park,1022110,0.00,0,5,,0.00,,0.0000,"
",South Milwaukee,1028214,0.00,0,3,,0.00,,0.0000,"
",Franklin,9051987,0.00,0,6,,0.00,,0.0000,"
",New London,1014779,10.22,2,9,5.11,2.00,5.11,0.2222,"
",Vienna,1020662,0.00,0,1,,0.00,,0.0000,"
",Arnold,1018509,0.00,0,2,,0.00,,0.0000,"
",Lipan,1026560,0.00,0,1,,0.00,,0.0000,"
",Maysville,1017832,0.00,0,2,,0.00,,0.0000,"
",Chester,1022805,9.65,1,4,,0.00,9.65,0.2500,"
",Marinette,1028063,4.49,1,5,1.50,3.00,4.49,0.2000,"
",Damascus,1018561,0.00,0,1,,0.00,,0.0000,"
",Richfield,1023957,0.00,0,6,,0.00,,0.0000,"
",Gautier,1020737,0.00,0,3,,0.00,,0.0000,"
",Union City,1026155,0.00,0,2,,0.00,,0.0000,"
",Curwensville,1024781,0.00,0,1,,0.00,,0.0000,"
",Corydon,1015723,0.00,0,1,,0.00,,0.0000,"
",Murfreesboro,1021234,0.00,0,3,,0.00,,0.0000,"
",Chiefland,1014980,0.00,0,1,,0.00,,0.0000,"
",Wabasha,1020121,0.00,0,1,,0.00,,0.0000,"
",Chatham,1022799,0.00,0,1,,0.00,,0.0000,"
",Hampton,1014742,0.00,0,1,,0.00,,0.0000,"
",Baker,1017930,0.00,0,1,,0.00,,0.0000,"
",Webster Springs,1028438,0.00,0,6,,0.00,,0.0000,"
",Asheboro,1020990,0.00,0,11,,0.00,,0.0000,"
",Fairland,1024195,0.00,0,1,,0.00,,0.0000,"
",Tazewell,1027306,0.00,0,3,,0.00,,0.0000,"
",Fort Ashby,1028343,0.00,0,4,,0.00,,0.0000,"
",Hockessin,1014915,0.00,0,11,,0.00,,0.0000,"
",Newbury,1027419,0.00,0,1,,0.00,,0.0000,"
",Botkins,1023581,0.00,0,2,,0.00,,0.0000,"
",Swissvale,9052954,0.00,0,1,,0.00,,0.0000,"
",Jefferson,1018628,0.00,0,1,,0.00,,0.0000,"
",Salem,1026989,0.00,0,2,,0.00,,0.0000,"
",Harrisville,1028354,0.00,0,2,,0.00,,0.0000,"
",Seymour,1020596,0.00,0,2,,0.00,,0.0000,"
",Rexburg,1016224,0.00,0,6,,0.00,,0.0000,"
",Tekamah,1021772,0.00,0,1,,0.00,,0.0000,"
",Chisago City,1019760,0.00,0,1,,0.00,,0.0000,"
",Belle Plaine,1019713,0.00,0,1,,0.00,,0.0000,"
",Penobscot,1018998,0.00,0,2,,0.00,,0.0000,"
",Kent,1023057,0.00,0,1,,0.00,,0.0000,"
",Boyne City,1019168,0.00,0,2,,0.00,,0.0000,"
",Millville,1018308,7.38,1,1,2.46,3.00,7.38,1.0000,"
",Mount Ulla,1021231,0.00,0,1,,0.00,,0.0000,"
",Albemarle,1020984,0.00,0,2,,0.00,,0.0000,"
",Leicester,1023082,0.00,0,1,,0.00,,0.0000,"
",Pelion,1025635,0.00,0,1,,0.00,,0.0000,"
",Lizton,1017181,10.00,1,1,10.00,1.00,10.00,1.0000,"
",Massena,1023128,0.00,0,1,,0.00,,0.0000,"
",Zimmerman,1020158,0.00,0,3,,0.00,,0.0000,"
",Grovetown,1015372,0.00,0,8,,0.00,,0.0000,"
",Valliant,1024354,0.00,0,1,,0.00,,0.0000,"
",Howard,1025779,0.00,0,1,,0.00,,0.0000,"
",Ossian,1017255,6.78,1,4,6.78,1.00,6.78,0.2500,"
",L'Anse,1019403,0.00,0,1,,0.00,,0.0000,"
",Bloomsburg,1024675,16.49,4,21,2.06,8.00,4.12,0.1905,"
",Catharpin,1027063,4.25,1,3,,0.00,4.25,0.3333,"
",Hebron,1014746,0.00,0,2,,0.00,,0.0000,"
",Milaca,1019969,0.00,0,1,,0.00,,0.0000,"
",Thonotosassa,1015218,0.00,0,29,,0.00,,0.0000,"
",Parkton,1018675,3.71,1,2,,0.00,3.71,0.5000,"
",Atlanta,1019130,0.00,0,2,,0.00,,0.0000,"
",Sabina,1023975,0.00,0,1,,0.00,,0.0000,"
",Byron,1016335,0.00,0,1,,0.00,,0.0000,"
",Bayonet Point,9051557,0.00,0,1,,0.00,,0.0000,"
",Winfield,1017676,0.00,0,3,,0.00,,0.0000,"
",Ellensburg,1027577,0.00,0,2,,0.00,,0.0000,"
",Liberty,1017176,0.00,0,3,,0.00,,0.0000,"
",New Milford,1022297,3.71,1,1,,0.00,3.71,1.0000,"
",Fort Stockton,1026410,4.84,1,2,4.84,1.00,4.84,0.5000,"
",Coldwater,1019222,3.65,1,6,1.82,2.00,3.65,0.1667,"
",Pinckney,1019529,0.00,0,2,,0.00,,0.0000,"
",Stagecoach,9052924,0.00,0,3,,0.00,,0.0000,"
",Ottawa,1017594,0.00,0,1,,0.00,,0.0000,"
",Banks,1024397,0.00,0,1,,0.00,,0.0000,"
",Elma,1022896,0.00,0,1,,0.00,,0.0000,"
",Sacramento,1014208,170.80,35,485,1.74,98.00,4.88,0.0722,"
",Lenexa,1017542,51.74,11,129,4.31,12.00,4.70,0.0853,"
",Plain City,1023939,0.00,0,11,,0.00,,0.0000,"
",Neenah,1028104,0.00,0,12,,0.00,,0.0000,"
",Villa Park,1014372,0.00,0,9,,0.00,,0.0000,"
",Brick Township,1022046,47.28,10,45,2.25,21.00,4.73,0.2222,"
",San Luis Obispo,1014232,9.05,2,34,9.05,1.00,4.53,0.0588,"
",Augusta,1015256,45.30,11,142,1.89,24.00,4.12,0.0775,"
",Kennebunk,9052224,26.10,5,26,1.63,16.00,5.22,0.1923,"
",Spokane,1027760,46.31,10,106,2.21,21.00,4.63,0.0943,"
",Oregon City,1024535,0.00,0,16,,0.00,,0.0000,"
",Tiverton,9052993,0.00,0,12,,0.00,,0.0000,"
",Maplewood,1022244,54.19,13,43,2.01,27.00,4.17,0.3023,"
",Bay Lake,9051554,8.81,2,13,2.94,3.00,4.41,0.1538,"
",Fredericksburg,1027130,44.03,9,92,6.29,7.00,4.89,0.0978,"
",Muscle Shoals,1013079,8.28,2,17,,0.00,4.14,0.1176,"
",Panama City Beach,1015164,6.69,1,21,6.69,1.00,6.69,0.0476,"
",Midland Park,1022261,9.66,2,15,4.83,2.00,4.83,0.1333,"
",Asbury,1022005,21.33,5,8,3.05,7.00,4.27,0.6250,"
",Kutztown,1024994,12.31,3,15,4.10,3.00,4.10,0.2000,"
",Forest Lake,1019836,14.34,2,9,3.58,4.00,7.17,0.2222,"
",Bloomfield Township,9051606,0.00,0,3,,0.00,,0.0000,"
",Marietta,1023814,0.00,0,13,,0.00,,0.0000,"
",Baldwinsville,1022711,3.12,1,20,1.56,2.00,3.12,0.0500,"
",Ayer,9051534,9.38,1,28,9.38,1.00,9.38,0.0357,"
",Sylvester,1015524,4.97,1,22,1.24,4.00,4.97,0.0455,"
",Glens Falls,1022950,35.29,8,55,3.21,11.00,4.41,0.1455,"
",Santa Fe,1022588,29.00,5,56,7.25,4.00,5.80,0.0893,"
",Wyckoff,1022491,6.38,2,15,6.38,1.00,3.19,0.1333,"
",Clay,1022813,9.74,2,24,3.25,3.00,4.87,0.0833,"
",Baldwin,9073411,0.00,0,3,,0.00,,0.0000,"
",Paw Paw,1019518,4.68,1,5,,0.00,4.68,0.2000,"
",Falcon Heights,9051931,9.22,2,25,1.84,5.00,4.61,0.0800,"
",Union City,1025351,0.00,0,3,,0.00,,0.0000,"
",Poplar Bluff,1020555,4.11,1,4,4.11,1.00,4.11,0.2500,"
",Brewer,1018785,10.30,2,37,2.58,4.00,5.15,0.0541,"
",Absecon,1021994,4.77,1,16,1.19,4.00,4.77,0.0625,"
",Nappanee,1017228,0.00,0,5,,0.00,,0.0000,"
",Springfield,1016864,67.76,14,96,1.78,38.00,4.84,0.1458,"
",Olean,1023224,12.77,4,21,2.55,5.00,3.19,0.1905,"
",Warrensville Heights,9053080,5.39,1,29,,0.00,5.39,0.0345,"
",Dike,1015750,0.00,0,3,,0.00,,0.0000,"
",Lincoln City,1024502,0.00,0,6,,0.00,,0.0000,"
",Euless,1026385,0.00,0,25,,0.00,,0.0000,"
",Methuen,1018301,3.31,1,18,1.66,2.00,3.31,0.0556,"
",Rockport,9073523,8.25,2,6,8.25,1.00,4.12,0.3333,"
",Missoula,1020929,21.45,7,74,1.65,13.00,3.06,0.0946,"
",Claymont,1014901,0.00,0,10,,0.00,,0.0000,"
