"Row Type,City name,City ID,Cost,Clicks,Impr,Cost/wt action,Weighted actions,Avg CPC,CTR,Avg pos"
",Augusta,1018761,10.14,2,17,1.69,6.00,5.07,0.1176,"
",Blue River,1027867,0.00,0,1,,0.00,,0.0000,"
",Marion,1016654,0.00,0,7,,0.00,,0.0000,"
",Mount Cobb,9052482,0.00,0,3,,0.00,,0.0000,"
",Enfield,1021098,6.62,1,5,6.62,1.00,6.62,0.2000,"
",Saint James,1023398,0.00,0,8,,0.00,,0.0000,"
",Mountain View,1015606,0.00,0,0,,0.00,,,"
",Lawrence,9052303,3.06,1,14,,0.00,3.06,0.0714,"
",Dunellen,1022098,11.56,2,8,1.93,6.00,5.78,0.2500,"
",Holden,1018888,0.00,0,1,,0.00,,0.0000,"
",Rocky Hill,1014821,0.00,0,13,,0.00,,0.0000,"
",Kentfield,1013895,9.22,2,19,1.84,5.00,4.61,0.1053,"
",Saint Clair,1019602,9.42,1,7,,0.00,9.42,0.1429,"
",Templeton,1014329,0.00,0,2,,0.00,,0.0000,"
",Washington,1021356,4.94,1,25,0.99,5.00,4.94,0.0400,"
",Bellwood,1016293,0.00,0,4,,0.00,,0.0000,"
",Fort Washakie,1028470,0.00,0,1,,0.00,,0.0000,"
",Spencer,1017313,5.23,1,3,1.74,3.00,5.23,0.3333,"
",Seffner,1015196,19.81,5,13,3.30,6.00,3.96,0.3846,"
",Presque Isle,1019008,9.60,2,2,3.20,3.00,4.80,1.0000,"
",Marion,1026594,0.00,0,2,,0.00,,0.0000,"
",Excelsior Springs,1020318,0.00,0,3,,0.00,,0.0000,"
",Mansfield,1018285,0.00,0,13,0.00,3.00,,0.0000,"
",Medford,1023137,4.48,1,12,2.24,2.00,4.48,0.0833,"
",McKean,1025062,0.00,0,1,,0.00,,0.0000,"
",Jasper,1026503,0.00,0,4,,0.00,,0.0000,"
",Appomattox,1027024,0.00,0,2,,0.00,,0.0000,"
",San Pablo,1014239,14.54,3,19,2.91,5.00,4.85,0.1579,"
",Valatie,1023439,0.00,0,2,,0.00,,0.0000,"
",Howard City,1019362,0.00,0,1,,0.00,,0.0000,"
",Somerset,1017890,11.16,3,23,2.23,5.00,3.72,0.1304,"
",Floyd,1027126,0.00,0,4,,0.00,,0.0000,"
",Buckhannon,1028314,0.00,0,2,,0.00,,0.0000,"
",Adairsville,1015244,4.64,1,10,1.55,3.00,4.64,0.1000,"
",Cornwall,9051772,0.00,0,5,,0.00,,0.0000,"
",Cottonwood,1013397,4.72,1,9,,0.00,4.72,0.1111,"
",Lemont,1016617,3.72,1,7,1.86,2.00,3.72,0.1429,"
",Hallettsville,1026449,0.00,0,2,,0.00,,0.0000,"
",Cameron,1021034,0.00,0,3,,0.00,,0.0000,"
",Tupper Lake,1023431,0.00,0,2,,0.00,,0.0000,"
",Flossmoor,1016470,2.63,1,5,2.63,1.00,2.63,0.2000,"
",Union City,1019633,0.00,0,1,,0.00,,0.0000,"
",Waterloo,1016938,0.00,0,1,,0.00,,0.0000,"
",Bishopville,1025509,0.00,0,1,,0.00,,0.0000,"
",Ashford,1012941,0.00,0,1,,0.00,,0.0000,"
",Frankfort,1022919,0.00,0,1,,0.00,,0.0000,"
",Oak Grove,1018039,0.00,0,1,,0.00,,0.0000,"
",Broussard,1017942,0.00,0,1,,0.00,,0.0000,"
",Big Piney,1028453,0.00,0,1,,0.00,,0.0000,"
",San Augustine,1026760,0.00,0,3,,0.00,,0.0000,"
",Georgetown,1013815,0.00,0,3,,0.00,,0.0000,"
",Pahoa,1015609,0.00,0,1,,0.00,,0.0000,"
",Sedgwick,1017627,0.00,0,1,,0.00,,0.0000,"
",Quitman,1020807,0.00,0,2,,0.00,,0.0000,"
",Homosassa,1015056,0.00,0,16,,0.00,,0.0000,"
",Michigan Center,1019454,0.00,0,1,,0.00,,0.0000,"
",Vonore,1026156,5.20,1,4,2.60,2.00,5.20,0.2500,"
",Leo-Cedarville,1017173,0.00,0,7,,0.00,,0.0000,"
",Jefferson,1021165,0.00,0,1,,0.00,,0.0000,"
",Webb,1013150,0.00,0,4,,0.00,,0.0000,"
",Ridgway,1014614,0.00,0,1,,0.00,,0.0000,"
",Wagoner,1024359,0.00,0,2,,0.00,,0.0000,"
",Cedar Creek,1026274,0.00,0,1,,0.00,,0.0000,"
",Lincoln,1020452,0.00,0,1,,0.00,,0.0000,"
",George,1015796,0.00,0,1,,0.00,,0.0000,"
",Marshfield,1020473,0.00,0,1,,0.00,,0.0000,"
",Coquille,1024426,0.00,0,1,,0.00,,0.0000,"
",Knoxville,1015860,0.00,0,1,,0.00,,0.0000,"
",Rochelle,1015490,0.00,0,1,,0.00,,0.0000,"
",East Greenwich,1025448,0.00,0,4,,0.00,,0.0000,"
",Eastland,1026369,0.00,0,1,,0.00,,0.0000,"
",Dorchester,1025537,0.00,0,1,,0.00,,0.0000,"
",De Queen,1013205,0.00,0,1,,0.00,,0.0000,"
",Sealy,1026780,0.00,0,1,,0.00,,0.0000,"
",Vevay,1017349,0.00,0,1,,0.00,,0.0000,"
",Waconia,1020123,0.00,0,20,,0.00,,0.0000,"
",Agawam,1018091,0.00,0,9,,0.00,,0.0000,"
",Prinsburg,1020036,0.00,0,7,,0.00,,0.0000,"
",Parker City,1017260,0.00,0,1,,0.00,,0.0000,"
",Albany,1019679,0.00,0,2,,0.00,,0.0000,"
",Augusta,1017400,0.00,0,3,,0.00,,0.0000,"
",Lamar,1025596,0.00,0,1,,0.00,,0.0000,"
",Grass Lake Charter Township,9052051,0.00,0,1,,0.00,,0.0000,"
",New Brockton,1013080,0.00,0,3,,0.00,,0.0000,"
",Avon,1022707,0.00,0,1,,0.00,,0.0000,"
",Oliver Springs,1026094,10.20,2,3,10.20,1.00,5.10,0.6667,"
",Dover Plains,1022863,0.00,0,1,,0.00,,0.0000,"
",Waddington,1023449,0.00,0,1,,0.00,,0.0000,"
",Vilonia,1013353,0.00,0,1,,0.00,,0.0000,"
",Lake Hughes,1013926,0.00,0,1,,0.00,,0.0000,"
",Somerville,1023995,0.00,0,1,,0.00,,0.0000,"
",East Haddam,1014714,0.00,0,4,,0.00,,0.0000,"
",Callahan,1014972,0.00,0,1,,0.00,,0.0000,"
",Newington,1027236,4.56,1,5,,0.00,4.56,0.2000,"
",Altamont,1016258,4.20,1,4,2.10,2.00,4.20,0.2500,"
",Stillwater,1024339,3.74,1,9,,0.00,3.74,0.1111,"
",Greenfield,1023727,0.00,0,3,,0.00,,0.0000,"
",Ravenna,1023951,0.00,0,8,,0.00,,0.0000,"
",Chapmanville,1028318,14.40,3,4,7.20,2.00,4.80,0.7500,"
",Howe,1017142,0.00,0,1,,0.00,,0.0000,"
",Rutherfordton,1021299,0.00,0,5,,0.00,,0.0000,"
",Bedford,1022726,0.00,0,6,,0.00,,0.0000,"
",Perkins,1024301,0.00,0,1,,0.00,,0.0000,"
",Middleville,1019456,0.00,0,1,,0.00,,0.0000,"
",Mokelumne Hill,1014021,0.65,1,1,,0.00,0.65,1.0000,"
",Helen,1015382,0.00,0,2,,0.00,,0.0000,"
",Peoria,1013461,22.29,4,110,4.46,5.00,5.57,0.0364,"
",Cumberland,1025447,10.89,3,29,1.56,7.00,3.63,0.1034,"
",Annandale,1027023,6.33,2,61,1.27,5.00,3.17,0.0328,"
",Norwich,1014795,10.63,2,31,2.66,4.00,5.32,0.0645,"
",University City,9053026,0.00,0,32,,0.00,,0.0000,"
",Glen Mills,1024894,25.26,5,30,2.30,11.00,5.05,0.1667,"
",Creve Coeur,9051789,21.46,5,49,3.58,6.00,4.29,0.1020,"
",El Paso,1026376,93.14,17,191,2.74,34.00,5.48,0.0890,"
",Manchester,9052375,44.75,9,58,3.73,12.00,4.97,0.1552,"
",North Andover,1018330,4.63,1,13,4.63,1.00,4.63,0.0769,"
",Paducah,1017859,5.21,1,22,2.60,2.00,5.21,0.0455,"
",Prosper,1026716,5.01,1,16,1.67,3.00,5.01,0.0625,"
",Bridgewater Township,1022049,58.62,12,116,1.20,49.00,4.88,0.1034,"
",Byron,1022768,0.00,0,0,,0.00,,,"
",Bristol,1024692,10.94,2,6,2.73,4.00,5.47,0.3333,"
",New Providence,1022298,45.82,9,52,2.29,20.00,5.09,0.1731,"
",Mill Hall,1025087,0.00,0,4,,0.00,,0.0000,"
",Columbia,1018552,11.34,3,67,2.83,4.00,3.78,0.0448,"
",Sudbury,1018428,27.00,5,24,2.45,11.00,5.40,0.2083,"
",Seminole,1015197,23.24,5,52,4.65,5.00,4.65,0.0962,"
",North Potomac,9052552,20.52,4,50,2.93,7.00,5.13,0.0800,"
",Alpine,1012936,0.00,0,0,,0.00,,,"
",Vacaville,1014361,4.28,1,25,,0.00,4.28,0.0400,"
",Akron,1024616,0.00,0,3,,0.00,,0.0000,"
",Hackensack,1022155,43.50,8,62,8.70,5.00,5.44,0.1290,"
",Brighton,1019175,9.84,2,15,4.92,2.00,4.92,0.1333,"
",Canton,1014688,0.00,0,5,,0.00,,0.0000,"
",Azalea Park,9051536,19.65,4,24,3.27,6.00,4.91,0.1667,"
",Fallston,1018581,6.97,1,22,6.97,1.00,6.97,0.0455,"
",Lexington,1027189,4.62,1,16,4.62,1.00,4.62,0.0625,"
",Islip Terrace,1023036,0.00,0,3,,0.00,,0.0000,"
",Urbana,1016916,23.58,4,32,2.62,9.00,5.89,0.1250,"
",Montvale,1022274,3.71,1,12,1.24,3.00,3.71,0.0833,"
",Hendersonville,1026013,0.19,1,26,0.06,3.00,0.19,0.0385,"
",Riverdale,1015488,9.47,2,17,3.16,3.00,4.74,0.1176,"
",Lakewood,1013930,25.36,5,38,3.62,7.00,5.07,0.1316,"
",Rockwood,1016815,0.00,0,0,,0.00,,,"
",Benton,1016297,0.00,0,4,,0.00,,0.0000,"
",Wrentham,1018499,0.00,0,18,,0.00,,0.0000,"
",Maple Glen,9052386,13.04,2,7,2.61,5.00,6.52,0.2857,"
",Graham,1021125,4.95,1,8,4.95,1.00,4.95,0.1250,"
",Leesburg,1027188,78.23,16,67,2.11,37.00,4.89,0.2388,"
",Mebane,1021215,17.42,4,13,4.36,4.00,4.36,0.3077,"
",Moorhead,1019981,0.00,0,8,,0.00,,0.0000,"
",Brandon,1025710,3.60,1,5,1.80,2.00,3.60,0.2000,"
",Maryville,1026062,8.71,2,35,2.90,3.00,4.36,0.0571,"
",Allouez,9051505,14.97,2,24,4.99,3.00,7.49,0.0833,"
",Highland Park,1016551,30.51,6,23,2.54,12.00,5.08,0.2609,"
",Blue Bell,1024677,18.54,4,28,1.54,12.00,4.63,0.1429,"
",Greenwood Village,9052071,15.38,3,16,3.85,4.00,5.13,0.1875,"
",Othello,1027698,0.00,0,1,,0.00,,0.0000,"
",Chamblee,9051714,6.55,1,20,2.18,3.00,6.55,0.0500,"
",Waynesboro,1025386,5.80,1,15,,0.00,5.80,0.0667,"
",Powell,1023946,14.35,3,28,4.78,3.00,4.78,0.1071,"
",Hampton Township,9052092,18.38,4,23,3.68,5.00,4.59,0.1739,"
",Manson,1027651,0.00,0,4,,0.00,,0.0000,"
",Fremont,1023703,11.12,3,8,3.71,3.00,3.71,0.3750,"
",Glenvar Heights,9052029,0.00,0,10,,0.00,,0.0000,"
",Voorheesville,1023447,8.88,2,5,4.44,2.00,4.44,0.4000,"
",Matthews,1021208,9.79,2,30,2.45,4.00,4.89,0.0667,"
",Mantua,9052383,0.00,0,1,,0.00,,0.0000,"
",Hampton,1015376,0.00,0,9,,0.00,,0.0000,"
",Edgewood,9051892,6.48,1,9,,0.00,6.48,0.1111,"
